,doc,index,ID,Tag,Value
0,300351813,1,300351813-1,,
1,300351813,2,300351813-2,,
2,300351813,3,300351813-3,,
3,300351813,4,300351813-4,,
4,300351813,5,300351813-5,公告日,平成30年2月2日入札公告
5,300351813,6,300351813-6,,
6,300351813,7,300351813-7,,
7,300351813,8,300351813-8,,
8,300351813,9,300351813-9,入札件名,七尾国家石油ガス備蓄基地高圧電力購入(平成30年度)
9,300351813,10,300351813-10,,
10,300351813,11,300351813-11,,
11,300351813,12,300351813-12,調達年度;調達終了日;調達開始日,平成30年;平成3１年3月3１日;平成30年4月１日
12,300351813,13,300351813-13,,
13,300351813,14,300351813-14,,
14,300351813,15,300351813-15,,
15,300351813,16,300351813-16,,
16,300351813,17,300351813-17,,
17,300351813,18,300351813-18,,
18,300351813,19,300351813-19,,
19,300351813,20,300351813-20,,
20,300351813,21,300351813-21,,
21,300351813,22,300351813-22,,
22,300351813,23,300351813-23,,
23,300351813,24,300351813-24,,
24,300351813,25,300351813-25,,
25,300351813,26,300351813-26,,
26,300351813,27,300351813-27,,
27,300351813,28,300351813-28,,
28,300351813,29,300351813-29,,
29,300351813,30,300351813-30,,
30,300351813,31,300351813-31,,
31,300351813,32,300351813-32,,
32,300351813,33,300351813-33,,
33,300351813,34,300351813-34,,
34,300351813,35,300351813-35,,
35,300351813,36,300351813-36,,
36,300351813,37,300351813-37,,
37,300351813,38,300351813-38,,
38,300351813,39,300351813-39,,
39,300351813,40,300351813-40,,
40,300351813,41,300351813-41,,
41,300351813,42,300351813-42,,
42,300351813,43,300351813-43,,
43,300351813,44,300351813-44,,
44,300351813,45,300351813-45,,
45,300351813,46,300351813-46,,
46,300351813,47,300351813-47,,
47,300351813,48,300351813-48,,
48,300351813,49,300351813-49,入札書送付先;資格申請送付先;質問箇所所属/担当者,（１）契約条項を示す場所及び問い合わせ先;（１）契約条項を示す場所及び問い合わせ先;（１）契約条項を示す場所及び問い合わせ先
49,300351813,50,300351813-50,入札書送付先;資格申請送付先;質問箇所所属/担当者,〒１０５－０００１;〒１０５－０００１;〒１０５－０００１
50,300351813,51,300351813-51,入札書送付先部署/担当者名;資格申請送付先部署/担当者名;質問箇所所属/担当者,〒１０５－０００１;〒１０５－０００１;〒１０５－０００１
51,300351813,52,300351813-52,入札書送付先;入札書送付先部署/担当者名;資格申請送付先;資格申請送付先部署/担当者名;質問箇所所属/担当者,〒１０５－０００１;〒１０５－０００１;〒１０５－０００１;〒１０５－０００１;〒１０５－０００１
52,300351813,53,300351813-53,資格申請送付先;質問箇所TEL/FAX,〒１０５－０００１;〒１０５－０００１
53,300351813,54,300351813-54,入札書送付先;資格申請送付先;質問箇所所属/担当者,〒１０５－０００１;〒１０５－０００１;〒１０５－０００１
54,300351813,55,300351813-55,入札書送付先;資格申請送付先;質問箇所所属/担当者,〒１０５－０００１;〒１０５－０００１;〒１０５－０００１
55,300351813,56,300351813-56,入札書送付先;資格申請送付先;質問箇所所属/担当者;開札場所,（１）契約条項を示す場所及び問い合わせ先;（１）契約条項を示す場所及び問い合わせ先;（１）契約条項を示す場所及び問い合わせ先;〒926-0007石川県七尾市三室町１65部１番地（
56,300351813,57,300351813-57,入札書送付先;入札書送付先部署/担当者名;資格申請送付先;資格申請送付先部署/担当者名;質問箇所所属/担当者;開札場所,〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;９２６－７石川県七尾市三町１６５部１番地
57,300351813,58,300351813-58,入札書送付先;入札書送付先部署/担当者名;資格申請送付先;資格申請送付先部署/担当者名;質問箇所所属/担当者;開札場所,〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地
58,300351813,59,300351813-59,入札書送付先;資格申請送付先;質問箇所TEL/FAX;質問箇所所属/担当者;開札場所,〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;９２６０００７石川県七尾市三室町１６５部１番地
59,300351813,60,300351813-60,入札書送付先;資格申請送付先;質問箇所所属/担当者;開札場所,〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地
60,300351813,61,300351813-61,入札書送付先;資格申請送付先;質問箇所所属/担当者;開札場所,〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地;〒９２６－０００７石川県七尾市三室町１６５部１番地
61,300351813,62,300351813-62,,
62,300351813,63,300351813-63,,
63,300351813,64,300351813-64,,
64,300351813,65,300351813-65,仕様書交付期限,平成30年２月２0日（火）16時00分
65,300351813,66,300351813-66,入札書送付先,（２）入札説明書の交付期限と場所
66,300351813,67,300351813-67,,
67,300351813,68,300351813-68,,
68,300351813,69,300351813-69,,
69,300351813,70,300351813-70,,
70,300351813,71,300351813-71,質問票締切日時,平成３0年2月2３日（金）の16時00分
71,300351813,72,300351813-72,,
72,300351813,73,300351813-73,,
73,300351813,74,300351813-74,,
74,300351813,75,300351813-75,,
75,300351813,76,300351813-76,,
76,300351813,77,300351813-77,,
77,300351813,78,300351813-78,,
78,300351813,79,300351813-79,,
79,300351813,80,300351813-80,入札書締切日時;資格申請締切日時,平成30年2月26日（月）16時00分;平成30年2月26日（月）16時00分
80,300351813,81,300351813-81,,
81,300351813,82,300351813-82,,
82,300351813,83,300351813-83,,
83,300351813,84,300351813-84,,
84,300351813,85,300351813-85,,
85,300351813,86,300351813-86,,
86,300351813,87,300351813-87,,
87,300351813,88,300351813-88,,
88,300351813,89,300351813-89,,
89,300351813,90,300351813-90,入札書締切日時;開札日時,平成30年3月9日（金）9時00分（札;平成30年3月9日（金）9時00分（札
90,300351813,91,300351813-91,開札場所,前記（1）のイ2階会議室（６）入札書の提出及び開札の
91,300351813,92,300351813-92,,
92,300351813,93,300351813-93,,
93,300351813,94,300351813-94,,
94,300351813,95,300351813-95,,
95,300351813,96,300351813-96,,
96,300351813,97,300351813-97,,
97,300351813,98,300351813-98,入札書締切日時,平成30年3月8日（木
98,300351813,99,300351813-99,,
99,300351813,100,300351813-100,,
100,300351813,101,300351813-101,,
101,300351813,102,300351813-102,,
102,300351813,103,300351813-103,,
